"","aircraft","helicopter","tank","APC","field.artillery","MRL","drone","naval.ship","anti.aircraft.warfare","special.equipment","vehicles.and.fuel.tanks","cruise.missiles","personnel"
"2022-02-25",10,7,80,516,49,4,0,2,0,0,0,0,2800
"2022-02-26",17,19,66,190,0,0,2,0,0,0,0,0,1500
"2022-02-27",0,0,4,0,1,0,0,0,0,0,0,0,200
"2022-02-28",2,3,0,110,24,17,1,0,5,0,0,0,800
"2022-03-01",0,0,48,30,3,3,0,0,2,0,0,0,410
"2022-03-02",1,2,13,16,8,16,0,0,2,0,0,0,130
"2022-03-03",0,0,6,38,5,2,0,0,2,0,0,0,3160
"2022-03-04",3,6,34,39,15,8,0,0,7,0,0,0,166
"2022-03-05",6,3,18,6,0,0,0,0,1,0,0,0,834
"2022-03-06",5,8,16,40,4,0,1,0,2,0,0,0,1000
"2022-03-07",2,20,5,14,8,0,3,1,2,0,0,0,0
"2022-03-08",2,12,13,37,3,6,0,0,4,0,0,0,1000
"2022-03-09",1,1,14,34,0,0,0,0,1,0,0,0,0
"2022-03-10",0,0,18,35,3,0,0,0,1,0,0,0,0
"2022-03-11",8,2,18,60,2,2,0,0,2,0,0,0,0
"2022-03-12",1,0,9,40,10,4,0,0,2,0,0,0,0
"2022-03-13",16,3,12,21,5,0,0,0,1,0,0,0,0
"2022-03-14",3,4,15,23,10,2,1,0,0,0,0,0,0
"2022-03-15",4,5,15,30,0,0,1,0,2,0,0,0,1500
"2022-03-16",3,13,26,96,40,6,2,0,7,10,0,0,300
"2022-03-17",2,0,14,60,11,2,0,0,0,0,0,0,200
"2022-03-18",7,4,6,13,4,0,1,0,0,1,0,0,200
"2022-03-19",2,3,16,22,8,0,5,0,1,0,0,0,200
"2022-03-20",1,3,10,17,17,2,4,0,0,1,0,0,300
"2022-03-21",1,3,22,48,10,6,3,0,1,1,0,0,300
"2022-03-22",2,2,11,21,12,0,11,0,0,2,0,0,300
"2022-03-23",2,1,8,22,15,0,7,1,2,0,0,0,300
"2022-03-24",7,0,13,19,13,2,8,0,0,1,0,0,200
"2022-03-25",7,1,31,28,11,8,3,1,2,2,0,0,300
"2022-03-26",2,2,14,15,2,1,3,2,2,1,0,0,300
"2022-03-27",4,0,7,24,1,2,0,0,1,2,0,0,200
"2022-03-28",2,0,4,30,8,2,10,0,2,0,0,0,400
"2022-03-29",4,2,11,16,1,1,5,0,0,0,0,0,200
"2022-03-30",4,2,8,13,2,0,10,0,0,0,0,0,100
"2022-03-31",4,0,9,12,6,0,2,0,0,1,0,0,200
"2022-04-01",8,0,11,16,5,0,2,0,0,2,0,0,200
"2022-04-02",0,3,6,25,1,4,2,0,0,0,0,0,0
"2022-04-03",0,0,13,54,8,5,2,0,0,0,0,0,300
"2022-04-04",4,0,3,14,5,2,2,0,0,1,0,0,300
"2022-04-05",3,0,29,14,2,0,3,0,1,0,0,0,200
"2022-04-06",0,1,8,3,0,0,2,0,0,0,0,0,100
"2022-04-07",0,0,14,30,0,1,15,0,0,0,0,0,300
"2022-04-08",0,0,2,0,1,0,1,0,0,0,0,0,100
"2022-04-09",1,1,5,4,2,0,0,0,0,0,0,0,100
"2022-04-10",1,1,17,16,7,0,0,0,0,0,0,0,200
"2022-04-11",2,0,3,12,5,3,7,0,0,0,0,0,200
"2022-04-12",3,3,7,23,2,0,5,0,8,0,0,0,100
"2022-04-13",1,3,7,18,9,4,8,0,1,0,0,0,200
"2022-04-14",2,1,14,4,8,7,2,0,0,0,0,0,100
"2022-04-15",3,0,3,8,0,0,1,1,2,0,0,0,100
"2022-04-16",0,1,6,6,5,3,3,0,0,1,0,0,100
"2022-04-17",2,1,11,20,5,2,10,0,0,1,0,0,200
"2022-04-18",2,1,17,39,5,3,7,0,1,0,0,0,300
"2022-04-19",2,3,12,22,5,2,3,0,0,0,0,0,200
"2022-04-20",2,0,13,24,5,4,7,0,0,0,0,0,100
"2022-04-21",1,1,14,31,2,0,1,0,0,0,0,0,100
"2022-04-22",4,2,9,44,4,2,6,0,2,0,0,0,200
"2022-04-23",1,1,16,43,6,5,10,0,0,0,0,0,400
"2022-04-24",2,0,19,33,5,4,9,0,0,1,0,0,200
"2022-04-25",2,0,11,20,3,2,10,0,0,0,0,0,100
"2022-04-26",3,0,34,50,5,0,4,0,0,3,0,0,200
"2022-04-27",1,1,21,34,5,0,2,0,2,0,0,0,300
"2022-04-28",2,0,31,47,10,2,8,0,1,0,0,0,400
"2022-04-29",2,0,16,29,4,0,14,0,1,0,0,0,200
"2022-04-30",1,0,22,27,1,0,3,0,4,1,0,0,200
"2022-05-01",2,0,18,26,15,0,13,0,3,0,1796,84,300
"2022-05-02",2,0,22,48,8,1,26,0,0,6,28,0,300
"2022-05-03",0,0,14,48,16,10,20,2,0,0,19,0,400
"2022-05-04",0,0,15,43,16,1,12,0,1,0,24,3,300
"2022-05-05",2,0,15,41,8,6,9,0,2,0,40,2,200
"2022-05-06",3,0,18,35,3,2,12,1,0,0,19,1,200
"2022-05-07",0,0,12,27,7,1,17,0,1,0,8,0,200
"2022-05-08",0,1,8,28,0,7,19,1,2,1,27,2,400
"2022-05-09",0,2,15,23,4,6,17,0,1,2,9,2,150
"2022-05-10",0,0,25,44,6,0,3,0,0,0,10,0,350
"2022-05-11",0,2,17,48,9,0,10,0,0,0,17,0,350
"2022-05-12",0,1,8,17,6,6,8,1,0,0,22,0,300
"2022-05-13",1,1,10,27,8,2,7,0,1,0,23,1,250
"2022-05-14",0,1,13,34,9,2,6,0,0,1,17,0,300
"2022-05-15",0,1,2,24,4,0,5,0,1,0,28,0,200
"2022-05-16",0,1,8,16,22,0,11,0,0,0,14,2,300
"2022-05-17",1,2,7,35,1,3,9,0,1,1,8,0,200
"2022-05-18",1,0,16,34,8,1,5,0,1,0,28,5,400
"2022-05-19",1,0,3,20,9,0,14,0,2,0,20,1,200
"2022-05-20",1,1,9,27,1,1,5,0,0,0,5,0,200
"2022-05-21",0,1,15,26,0,1,2,0,0,0,16,1,150
"2022-05-22",0,1,7,25,3,0,8,0,0,0,16,3,200
"2022-05-23",0,0,8,25,5,0,6,0,0,0,12,3,150
"2022-05-24",1,0,9,28,2,0,4,0,0,0,7,2,150
"2022-05-25",1,0,3,19,0,0,11,0,0,1,4,0,100
"2022-05-26",0,0,10,22,11,0,11,0,0,3,8,2,150
"2022-05-27",0,0,7,11,6,0,1,0,0,1,1,1,150
"2022-05-28",1,4,8,12,5,2,0,0,0,0,0,1,250
"2022-05-29",0,0,8,12,3,0,1,0,0,0,14,0,150
"2022-05-30",0,0,11,12,12,2,3,0,0,0,18,2,200
"2022-05-31",1,0,9,20,6,2,8,0,0,0,17,2,150
"2022-06-01",0,1,3,41,10,0,4,0,1,1,15,0,200
"2022-06-02",2,0,2,11,2,0,2,0,1,2,35,0,150
"2022-06-03",0,0,4,12,14,0,14,0,0,0,4,1,100
"2022-06-04",0,0,9,13,5,0,5,0,0,1,8,1,100
"2022-06-05",0,0,5,13,6,0,8,0,0,1,23,0,100
"2022-06-06",1,1,5,8,4,0,3,0,1,0,35,3,100
"2022-06-07",1,1,4,16,4,0,2,0,0,0,10,0,110
"2022-06-08",0,1,3,13,9,6,6,0,0,0,1,0,140
"2022-06-09",0,0,5,9,8,0,3,0,0,0,15,0,200
"2022-06-10",0,0,11,12,1,9,10,0,1,1,17,0,200
"2022-06-11",0,0,10,16,0,0,7,0,0,0,10,0,150
"2022-06-12",0,0,11,18,3,4,3,0,0,0,7,0,100
"2022-06-13",1,0,2,8,3,0,3,0,0,0,5,0,150
"2022-06-14",0,1,2,11,3,3,3,0,0,0,13,0,200
"2022-06-15",0,0,6,25,1,1,3,0,0,1,12,4,250
"2022-06-16",0,0,9,17,7,3,0,0,0,0,9,0,200
"2022-06-17",2,1,7,18,5,0,2,0,0,0,2,0,200
"2022-06-18",1,0,9,10,5,0,1,1,1,0,17,0,200
"2022-06-19",0,1,3,4,6,2,4,0,0,0,10,1,250
"2022-06-20",0,0,9,11,4,3,3,0,0,0,4,0,200
